,Text
36,   주민의 힘…세월호 눈물의 땅 ‘고와선’에 움튼 기적 hani.co.kr/arti/society/a… pic.twitter.com/69YcjD076Z  
37,"   고발뉴스닷컴 모바일, 표창원 “국정원 대선개입‧세월호 진실 밝히겠다”…새정치 입당 m.gobalnews.com/news/articleVi…  "
38,  세월호 유족 비하글 트위터 올린 공공기관 간부···법원 “해고 사유는 안돼”  news.khan.co.kr/kh_news/khan_a…  
39,   다이빙벨을 보면 세월호 참사가 왜 국가가 국민을 구조하지 않은 사건인지 알 수 있다.  youtu.be/t1lQ6OmMDz4  
40,   ‘세월호 수습’ 발빼는 정부…안산·진도 전담기구 해체되나 hani.co.kr/arti/society/s… pic.twitter.com/ssZ5VKzcz7  
41,"  세월호에서 사라진 9명... 여러분 가족이라면, 어떤 심정이겠습니까?... 아무 잘못없이 죽고, 죽은 이유도 모르고, 시신도 찾지 못한 원한이, 천년이 간다한들 사라지겠습니까? pic.twitter.com/lhKmoEAfCS  "
42,  세월호 참사 621일  304명의 아이들을 모두 구할 수 있었습니다. 304명의 아이들이 전국민이 생중계로 지켜보는 가운데 수장되었습니다. 이 야만의 학살을 어떻게 묵인할 수 있겠습니까?  #세월호 #바꾸세 pic.twitter.com/MLmuyTzdHU  
43,   표창원 “국정원 대선개입‧세월호 참사 진실 밝히겠다”…새정치 입당 is.gd/3QbNxy #고발뉴스 pic.twitter.com/MsVpHEPKwr  
44,"   안철수가 민생 이야기하니까 웃기지도 않네. 난 당대표로 세월호 진상규명이 절실하던 때  지방선거에 니가 한 짓을 기억하지. 안산시장 공천을 니 유리한 사람 공천해서 진도에서 사고 뒷수습 중이던 원래 시장 등에 칼을 꽂았고,광주에 니 사람 공천하느라  "
45,"  세월호 특조위의 진상규명을 두려워 하는 자가 세월호 참사 진짜 배후다. 그런 차원에서 본다면, 박근혜 정부가 배후다. 2016년, 세월호 특조위 진상규명 노력을 응원한다. 힘내라!  "
46,"   1년4개월동안 세월호 침몰원인을 조사해온 김지영 감독을 만났습니다. ""의혹만 남겨두기보다 정부발표가 틀렸다는 것이라도 확정해야 한다""고 조언했습니다 bit.ly/1OeCrNX pic.twitter.com/AlxxBSuh3Q  "
47,"   충격이죠. 박근혜씨 국정원 대선개입, 유병언 추적, 세월호 등 승진잔치죠. [농민 백남기 사경 헤매는데, 警 책임자들은 ‘승진잔치’ 백도라지 “朴정부, 정말 답없고 미쳤고 구제불능인데다 악하다” goo.gl/ARDZgQ ]  "
48,   <세월호 작은 송년회>유민아빠는 잘 아실테고 선체 직접 들어가 아이들 한명한명을 끌어앉고 나온 민간잠수사 몇분을 초청해 위로하고 눈물에 젖은 이야기를 나눴습니다. 알려지지 않은 잠수사들의 얘기를 들었습니다. pic.twitter.com/KmEuZVGq4l  
49,   <유민아빠와 민간잠수들과 술한잔>상암동에서 유민아빠와 세월호 민간잠수사들과 술한잔 하는데 김현의원 출현. 서로돕고 의리를 지키자고 하다가...김현의원 후원금 모집에 협조하자고ㅋㅋ 저는 만땅 찾으니 김현에게~ pic.twitter.com/EcxtzeojDM  
50,"   박영선은 참 안타깝다. 이쪽저쪽 쏠림 없는 정치인이라 의원들이 원내대표로 뽑았지만 지지자들로 부터도 별 반감없이 환영을 받았고 기대도 컸다. 그런데 세월호특별법 협상을 상식에 맞지않게 하는 바람에 여론의 뭇매로 물러 나 놓고 친노를 원망하고 각을세움,  "
51,   “세월호 책임자들 총선출마? 대한민국을 세월호로 만들 셈인가” is.gd/HaTkS5 #고발뉴스 pic.twitter.com/PBOGvpnS02  
52,  세월호 때 많은 국민들이 언론을 질타했습니다 기레기라는 말까지 들었죠 일부는 아니지만 어떤 언론은 반성했습니다 그런데 반성을 했든 아니든 지금 그들은 여전합니다 세월호 청문회가 저렇게 엉망이어도 말이죠... fb.me/5B1WC8pSH  
53,"   안철수,김한길 ""세월호 참사 발생 15일 실종됐었다"" fb.me/7JwXhYGQf    문재인,정청래 세월호 단식할때 안철수,김한길 15일동안 실종  장외 투쟁도 반대했던 안철수,김한길 당대표 당이 왜 지리멸렬 이었는지 이제 아시겠죠?  "
54,"   대선땐 손붕대, 세월호 1주땐 고열감기, YS영결식때 또 감기, 박근혜법 직권상정 안해주니 위경련 속보..  시바 아프니까 대통령이냐? 때려처라! 환자 코스프레 정말 개짜증이라고! pic.twitter.com/u7t8uUXpSf  "
55,"   아무리 정치가 ""SHOW""라고는 하지만.. 민중총궐기에는 '김치 담그기'쇼, 세월호 청문회는 '탈당'쇼, 얼굴에는 묻혔지만 정작 손은 멀쩡한 '연탄배달'쇼까지..당신을 퍼포먼스의 달인으로 임명합니다. pic.twitter.com/aJRsBs5nPT  "
56,"  세월호 박근혜,국정원 철저히조사하고 그결과를발표하라 12/26 0:00 구조0명반드시밝혀라  다이빙벨 m.youtube.com/watch?feature=… 783,102조회  매일12시 #유권소#온라인시위 pic.twitter.com/jPP4LRW3K1  "
57,  #다이빙벨 을 먼저보고 #나쁜나라 를 보면 #세월호 유가족들의 사고의문.구조의문등의 진실을향한 계속돼는싸움들이 공감이된다.자식을잃은 부모가아니면 하지못할일들 길고긴 이싸움의끝에서 당신들이 승리하시길바랍니다. pic.twitter.com/mybw5VAIFh  
58,"   이태호 | 세월호 특조위의 첫 청문회가 남긴 것 ""당일 잠수한 인력이 네명에 지나지 않음에도 당국은 참사 당일 200명 가까이 잠수인력을 투입했다고 발표했다.""  goo.gl/TPbI0a pic.twitter.com/0t2Civ6F5T  "
59,   Pieces by Ciss soundcloud.com/cisshong/piece… #세월호 #Christmas #remember04162014 #기억  
60,"   표창원, 세월호 특조위 자문위원 위촉 “보탬되겠다” hani.co.kr/arti/society/s… pic.twitter.com/W9nnF94anq  "
61,"   “세월호청문회 봤더니, ‘구조쇼’ 하다 승객들 수장시켜버린 것” fb.me/6X4mPHJSW  "
62,"   아무리 시간이 걸려도 세월호 참사의 진실은 밝혀내야!  123정장, 감사원서 ""세월호 침몰보고 조작 확인해달라"" 조작여부 2차례 확인 요구, “지휘부, 나한테 책임지우고 나몰라라, 이렇게 나올 줄 몰랐다” media.daum.net/v/201512241616…  "
63,"   [단독] 세월호 선원들, ‘의문의 물체’ 들고 나오는 영상 첫 확인 hani.co.kr/arti/society/s…  "
64,"   ""아이들이 철이 없어서...""""똑똑한 사람들은 다 나왔다...""""기억이 안난다...""세월호 청문회 소식을 접하며 그래 여기가 지옥이구나.싶었다.  "
65,  #미디어오늘 단독기사입니다.   #세월호 참사 당일 현장지휘관 김경일 123정장이 감사원 조사 당시 “세월호 침몰보고 조작 여부를 확인해달라”고 여러차례 요구했던 것으로 드러났습니다. fb.me/4xHDGTGcg  
66,"   국회의장한테 직접 전화를 돌릴 정도로 급한 부르르박의 관심은 노동개악법 사이에 숨은 '테러방지법'이 아일까 싶다. 세월호의 진실을 파헤치려는 '테러', 지난 대선 부정 개표를 밝히려는 '테러'를 저지하기 위한 '테러방지법' 말이다.  "
67,"   YTN만 그랬을까요? 푸른 하우스 암닭이 낳은 계란을 먹은 쓰레기 언론사들 다 똑같습니다. 암닭이 계란을 못낳는 날 이들도 망할것입니다.  YTN 노조 ""세월호 참사 언급하지 말란 지시 있었다"" | 다음 뉴스 media.daum.net/v/201512231540…  "
68,"   전교조""단체협약 체결하라""…조희연 교육감에 항의 천막농성.세월호 천막도 진져리가 나는데 이젠 진보 전교조까지 밥그릇 싸움이냐.새밑년도 밥그릇 싸움.세월호는 대통령 비하 천막농성,국민들은 진보들 넌덜머리난다. pic.twitter.com/9mNo9p36DR  "
69,"  세월호 박근혜,국정원 철저히조사하고 그결과를발표하라 12/24 0:00 구조0명반드시밝혀라  다이빙벨 m.youtube.com/watch?feature=… 777,177조회  매일12시 #유권소#온라인시위 pic.twitter.com/LhlkmcXk6n  "
70,   <세월호의 기록..> 승현아빠 이호진씨의 삼보일배 기록  반면교사.. 이번 26일 오후 3시 성남시청입니다 pic.twitter.com/dXkQmdOAzp  
71,"  세월호 특조위 자문 위촉패"" 응원합니다 그리고 지지합니다^^ 감사합니다 pic.twitter.com/5D1ETPLGDu  "
72,   10만회가 넘게 봐주신 세월호 관련 대정부질문영상 ^^  youtu.be/ad1DTfJ_H7k  
73,"   표창원, 세월호특조위 자문위원에 위촉…“마음이 많이 무겁다” vop.co.kr/A00000974745.h… 세월호의 진실은 반드시 밝혀야 하고 반드시 밝혀질 것이다!!!  "
74,  세월호 참사 617일  우리 모두는 세월호의 가족입니다. 수장당한 304명은 우리의 아이들입니다. 진상규명과 책임자 처벌없이 끌어온 세월호의 이야기는 우리가 책임져야할 고통입니다  #세월호 #바꾸세 pic.twitter.com/QBSosPm97z  
